,id,sentiment_score,tfidf_score,clean,comments,sentiment_rate,prediction,actual
0,1178162,"[1.2458463266281823, 1.0598836961111875, 1.26268969548639, 1.1600448784924657, -1.0491559077175832, 1.1208047462057888, 1.1360643009905433, 1.1268032963314716, 1.04848597157498, 1.0396156713809757, 1.1179364941155867, 1.028860132688047, -1.0610904699980812, 1.147904658726302, 1.26268969548639, 1.086874706884319, 1.0598836961111875, -1.6973618705983071, -1.2481896124804757, 1.3214123444369628, 1.0025929971780003, -1.0695295313764035, -1.5071980808241603, 1.0497017541947085, 1.2932808520291807, 1.26268969548639, 0.9926704729024934, -1.8012858214843095]","[1.851617835159555, 16.871000240088684, 5.974608682083084, 2.884582602403719, 5.020365230538404, 2.8951657990506554, 2.1063892138367146, 7.40964718565866, 3.63818833108132, 3.827964313292123, 7.729280857917043, 3.632342260517896, 2.372388332668417, 2.421720624287829, 5.974608682083084, 2.0887563393904984, 16.871000240088684, 6.635006970847532, 4.556652976855094, 2.9075340905846785, 3.767108068803426, 3.298154892275781, 4.8945407960070275, 3.3757405488453753, 7.4191259296132035, 5.974608682083084, 3.6256719829624062, 7.400257445308821]",stay islam place really cool good location 5min away subway 10min downtown room nice place clean islam managed pretty well arrival even last minute recommand place airbnb user ,"my stay at islam's place was really cool! good location, 5min away from subway, then 10min from downtown. the room was nice, all place was clean. islam managed pretty well our arrival, even if it was last minute ;) i do recommand this place to any airbnb user :)",78.64539124,1,1
1,1178162,"[1.2721912427452897, 1.1360643009905433, 0.9676782618262432, 1.1213177276290829, 1.2721912427452897, 1.0577200760532492, 1.029643588157821, 1.0953166822897515, 1.0598836961111875, 1.124614029818676, 1.2112978914922499, -1.0695295313764035, -1.6519771113053678, 1.04848597157498]","[3.5720769090289695, 2.1063892138367146, 4.041700949145193, 3.4609466110455362, 3.5720769090289695, 4.525057309835713, 2.8171035499158434, 4.98802198581818, 8.435500120044342, 4.12540770846916, 3.039363761671821, 3.298154892275781, 4.363329415316563, 3.63818833108132]",great location airport city great amenity house plus islam always helpful even though away,great location for both airport and city - great amenities in the house: plus islam was always very helpful even though he was away,42.76464111,1,1
2,1178162,"[1.1600448784924657, 1.3319748752938991, 1.2458463266281823, 1.0598836961111875, 1.029643588157821, -1.2580151699706512, 1.029643588157821, -1.309774918783409, -1.2359642604716699, 1.3687219690975376, -1.5959222861807019, 1.147904658726302, -1.0695295313764035, -1.6519771113053678, 1.0598836961111875, 1.1702328744251425, -1.114118761114122, 1.0025929971780003, 0.9676782618262432, 0.9908318578129219, -1.6893613051765202, 0.9712602829750923, 0.9781220035948588, 1.04848597157498, -1.3011644872958696, -1.38125951124056, -1.2234745276640087, 1.029643588157821, -1.0949006491234725, -1.630890237570567, -1.1835477377527222, 1.1600448784924657, -1.3934687581998322, -1.4111665516838015, -1.54509073038553, -1.1283539068261896, 1.1242888157443813, 1.0598836961111875, 1.26268969548639, 1.2458463266281823, 1.129606363385342]","[5.769165204807438, 3.5333491239195953, 3.70323567031911, 25.306500360133025, 8.45131064974753, 4.860791811270387, 8.45131064974753, 3.7673551348948617, 4.5714518218873135, 5.944036069710182, 5.599195583418452, 2.421720624287829, 3.298154892275781, 4.363329415316563, 25.306500360133025, 2.660866851785059, 5.548056621927265, 3.767108068803426, 4.041700949145193, 3.4711843604275354, 6.925591802957274, 4.595482036573138, 2.9904656493969153, 3.63818833108132, 3.701612742703896, 4.570348069015877, 3.9872915784891587, 8.45131064974753, 5.905569788882386, 3.3353128194434447, 3.4456047344603666, 5.769165204807438, 4.299491812410533, 4.782793397324131, 4.798606720996856, 2.35382209131815, 2.660213310384459, 25.306500360133025, 1.991536227361028, 3.70323567031911, 1.9963179150927937]",really enjoyed stay islam house outside house didnt look inviting inside nice even though islam everything prepared arrival airport station 510 min walk away little issue people house share one bathroom really problem worked fine would recommend islam place stay boston ,we really enjoyed our stay at islams house. from the outside the house didn't look so inviting but the inside was very nice! even though islam himself was not there everything was prepared for our arrival. the airport t station is only a 5-10 min walk away. the only little issue was that all the people in the house had to share one bathroom. but it was not really a problem and it worked out fine. we would recommend islams place for a stay in boston. ,68.95648984,1,1
3,1178162,"[-1.0610904699980812, 1.147904658726302, 1.086874706884319, 2.9419729577833023, 1.0841731997225674, 0.9676782618262432, 1.0224435837493715, 0.9908318578129219, 1.0901469091865428, -1.2656863918868246, 1.1757162212006305, 1.1226519917064541, 1.0598836961111875, 1.5649482423170036, -1.0459327590728513, 1.2112978914922499, -1.1283539068261896, 1.1242888157443813]","[2.372388332668417, 2.421720624287829, 2.0887563393904984, 9.300497557530946, 2.9373617011753343, 4.041700949145193, 4.886185259359095, 3.4711843604275354, 3.5451509918225876, 4.266389907249549, 3.896975937533386, 3.154302141794926, 8.435500120044342, 7.372605913978311, 4.740063265384246, 3.039363761671821, 2.35382209131815, 2.660213310384459]",room nice clean commodity close airport metro station located quite safe area islam responds quickly helpful would recommend ,the room was nice and clean and so were the commodities. very close to the airport metro station and located in quite safe area. islam responds very quickly and is very helpful. i would recommend it. ,71.55033033,1,1
4,1178162,"[1.2721912427452897, 1.1360643009905433, -1.112456955392227, 0.9712602829750923, 0.9781220035948588, 0.9676782618262432, 0.9908318578129219, 1.1208047462057888, 1.0073727409901294, 1.0091955676828341, -1.0610904699980812, 1.0851807193599996, 1.086874706884319]","[1.7860384545144847, 2.1063892138367146, 4.304975901244738, 4.595482036573138, 2.9904656493969153, 4.041700949145193, 3.4711843604275354, 2.8951657990506554, 4.084882682748152, 4.385547513569098, 2.372388332668417, 5.230402997532305, 2.0887563393904984]",great location 5 min walk airport station good food nearby room simple clean,"great location. just 5 mins walk from the airport station. good food nearby.
room was simple, clean, just what i was after.",31.82957174,1,1
5,1178162,"[2.540855029606063, 0, 1.26268969548639, 1.2458463266281823, 1.2483702642417305, 1.4485181270612248, 1.1586033060182528, -1.0610904699980812, 1.1465841576218752, -1.1957035665721465, 1.1360643009905433, 1.323554185187401, 0, 1.1024575602321502, 1.0841731997225674, 0.9676782618262432, 1.0396156713809757, 1.0039870138934666, 1.04848597157498, 1.028860132688047, 1.3807835388943115, 0]","[9.675191006972357, 10.974473991102618, 1.991536227361028, 1.851617835159555, 2.149992197595681, 7.1752464798198154, 3.303423771658453, 2.372388332668417, 5.805885731229365, 4.725786579027563, 2.1063892138367146, 6.258955747945661, 10.974473991102618, 2.88376527501862, 2.9373617011753343, 4.041700949145193, 3.827964313292123, 4.881656949734348, 3.63818833108132, 3.632342260517896, 3.445963028982294, 11.379939099210782]",truely exeptional place stay host amazingly friendly room spotless wifi location superb latinamerican neighborhood close airport subway ride away downtown highly recommened ,"a truely exeptional place to stay. the hosts are amazingly friendly, the rooms are spotless, and there is wifi.
the location is superb: a latin-american neighborhood close to the airport and just a few subway rides away from downtown. highly recommened!
",86.94116493,1,1
6,1178162,"[1.1600448784924657, 1.147904658726302, 1.165692522557035, 1.129606363385342, 1.2300358001056833, 1.26268969548639, 1.2458463266281823, 1.129606363385342, 1.1600448784924657, 1.147904658726302, 1.2112978914922499, 1.2483702642417305, 1.0657476579738256, 1.165692522557035, -1.2137609110543792, 1.1208047462057888, -1.2008512940848701, 1.1225970827921299, -1.2588938485934484, 1.1600448784924657, 1.147904658726302, 1.165692522557035, 1.129606363385342, -1.083431494290739, 1.3193324642121291, 1.1338612459154176, 1.0715667789791763, 2.5375341246238716, -1.2479538268479735, -1.5379803728662014, -1.2588938485934484, 1.1600448784924657, 1.147904658726302, 1.086874706884319, 1.029643588157821, 1.0896676487420207, 0.9676782618262432, 1.0396156713809757, 0.9908318578129219, -1.2070034390161901, -1.1663509926221372, 1.0497017541947085, 1.04848597157498, 1.1600448784924657, 1.1208047462057888, 1.165692522557035, 1.1242888157443813, -1.1859186381362499, 1.1338612459154176, 1.102412724836383, 1.6641179510405535, 1.26268969548639, 1.2458463266281823, 1.129606363385342, 1.1208047462057888, -1.1883413347113465, 1.326955312492397, 1.0772770285763273]","[14.422913012018594, 9.686882497151316, 10.86558804583763, 7.985271660371175, 4.0345742587939135, 3.983072454722056, 3.70323567031911, 7.985271660371175, 14.422913012018594, 9.686882497151316, 3.039363761671821, 2.149992197595681, 5.935359225684493, 10.86558804583763, 7.354587408475632, 8.685497397151966, 3.879686047818629, 4.26965122281856, 8.166373809655575, 14.422913012018594, 9.686882497151316, 10.86558804583763, 7.985271660371175, 4.406864354108002, 4.616631724594518, 8.698163246189324, 3.8269147199131637, 10.463648367336626, 5.579332439919041, 5.2465410562141335, 8.166373809655575, 14.422913012018594, 9.686882497151316, 2.0887563393904984, 2.8171035499158434, 4.222593098899587, 4.041700949145193, 3.827964313292123, 3.4711843604275354, 3.3760746617786537, 5.564317142799045, 3.3757405488453753, 3.63818833108132, 14.422913012018594, 8.685497397151966, 10.86558804583763, 2.660213310384459, 4.203302377240581, 8.698163246189324, 2.478776860031267, 5.548056621927265, 3.983072454722056, 3.70323567031911, 7.985271660371175, 8.685497397151966, 4.659718944075487, 3.65152331936974, 3.524200641622]",really nice time boston best place stay boston really nice helpful host taking time explain good thing see come really nice time boston big part want go sth ask may come really nice clean house near airport subway station like 6 minute away really good time recommend anyone want comfortable enjoyable place stay boston good price thanks lot ,"it was a really nice time in boston - best place to stay over in boston !! really nice and helpful hosts - taking there time to explain all the good things to see and how to come there.
we had a really nice time in boston and they had a big part on that.
if you want to go out doing sth - just ask them and they may come with you.
really nice and clean house - near to the airport and the subway station ( like 6 minutes away ). 

we had a really good time there and can just recommend it to anyone who want to have a comfortable and enjoyable place to stay in boston for a good price. thanks a lot.
",319.3030739,1,1
7,1178162,"[1.0598836961111875, 1.147904658726302, 1.1387928787023034, 1.215378181297816, -1.1147158420471275, 1.0494635536342791, 0, 1.0584324034108878, 1.129606363385342, 1.061291690683641, 1.26268969548639, 1.0715667789791763, 1.1426407055311347, 1.086874706884319, 1.1989922765526668, 0.9932857682253003, -1.3654299213763381, 1.0953166822897515, 1.2932808520291807, 1.2721912427452897, 1.1682540827819132]","[8.435500120044342, 2.421720624287829, 5.362563170318299, 5.454347296253507, 7.607178161116144, 4.002805386376828, 10.974473991102618, 5.895142165720127, 1.9963179150927937, 7.618738983517219, 1.991536227361028, 3.8269147199131637, 5.068204290057867, 2.0887563393904984, 5.188599627727944, 6.2180143575683005, 5.467788358822525, 4.98802198581818, 7.4191259296132035, 1.7860384545144847, 3.0758153735372797]",islam nice guy attentive funny gave recommandation info boston nightlife place go flat clean tidy patio real plus recommand great experience ,"islam is a very nice guy ! attentive, funny, he gave me recommandation and info about boston ( nightlife, places to go and so on) 
his flat is clean, tidy and there is a patio which is a real plus! 
i do recommand this, great experience !",77.2901282,1,1
8,1178162,"[1.26268969548639, 1.1600448784924657, 1.3214123444369628, -1.0859650618166272, 1.4654943729338095, 1.086874706884319, 1.0598836961111875, 1.2112978914922499, 1.11191575137804, 0.9618148706286849, -1.2479538268479735, -1.121139129871794, -1.1573965992240212, -1.7635792992921442, 1.0672292921247246, 1.159578834623076, -1.0491559077175832, -1.1003484494903577, 1.0970483470108534, 1.26268969548639, -1.2481896124804757, 1.1792391942160414, 1.0901469091865428, 1.3807835388943115, 1.3352502681692513, 1.072275956916161, -1.4941669851732753, -2.000277308773997, 1.129606363385342, 1.8200155698159162, -1.2600809137819449, 0, -1.223216945351, -1.440273588734917, 1.2721912427452897, 1.1360643009905433, -1.1883413347113465, -1.250661013618571, -1.3588470920659856]","[3.983072454722056, 2.884582602403719, 2.9075340905846785, 5.437139724084081, 4.4832447675880704, 2.0887563393904984, 8.435500120044342, 3.039363761671821, 3.5082464348871367, 4.8696807586876325, 5.579332439919041, 8.161063274342581, 4.787579731247941, 8.854210454902526, 4.495964348894049, 5.10989629390049, 5.020365230538404, 6.539696791043207, 7.042648358378291, 3.983072454722056, 4.556652976855094, 5.034302738382186, 3.5451509918225876, 3.445963028982294, 4.490347790856315, 4.563203218615813, 5.247626243515421, 8.222938678060668, 1.9963179150927937, 8.777249413766398, 5.42022325041738, 10.974473991102618, 3.5824424235880263, 6.800086721206981, 1.7860384545144847, 2.1063892138367146, 4.659718944075487, 5.276262561495872, 3.943616514986497]",place really well furnished pleasant clean islam helpful feel free ask virtually anything hell help fun cool talking oh place pretty conveniently located highly recommended neighbourhood might cleanest boston gf liked brooklyne much matter great location price value overall,"the place is really well furnished, pleasant and clean. islam was very helpful, you can feel free to ask him virtually anything and he'll help you. he was fun too, very cool talking to him. oh, and the place is pretty conveniently located too. highly recommended.

the neighbourhood might not be the cleanest in boston (my gf liked brooklyne much more in that matter), but this is a great location and price for value overall.",-10.0266075,0,1
9,1178162,"[1.2458463266281823, 1.0598836961111875, 1.26268969548639, 1.2916505497826116, -1.5472820945011, -1.1367724580994034, 1.0437634773982931, -1.250661013618571, 1.1360643009905433, 1.0577200760532492, 1.1659134814186691, -1.223216945351, 1.1016697718190689, 1.102412724836383, 1.26268969548639, -1.1283539068261896, 1.14801346667306, 1.2458463266281823, 1.2059776169768928, 1.129606363385342, 1.0598836961111875, 1.124614029818676, 1.14801346667306, -1.051621893859121, 1.0439015870188726, -1.3789001036652182, 1.1389076990152605, 1.4143638205134685, -1.6433401287144622, 1.4027171333501054, 1.2588855757766622, 1.3327450118368154, 1.26268969548639, 1.201342039038463, 1.2483702642417305]","[3.70323567031911, 16.871000240088684, 5.974608682083084, 3.951903037691899, 4.664555712876101, 5.074576637520126, 4.1602970590800465, 5.276262561495872, 2.1063892138367146, 4.525057309835713, 3.72454845438463, 3.5824424235880263, 3.0071938121604176, 2.478776860031267, 5.974608682083084, 2.35382209131815, 8.219948441582876, 3.70323567031911, 4.9192524781918845, 1.9963179150927937, 16.871000240088684, 4.12540770846916, 8.219948441582876, 5.221901352276984, 3.7485074346338765, 6.189763891282448, 3.6869133507928935, 4.460749442602982, 5.666206293701412, 3.8551080766199948, 5.4786728200209485, 3.3536055189196574, 5.974608682083084, 3.5339359210024477, 2.149992197595681]",stay islam place fantastic couldnt asked better value location amenity felt much home comfortable place would quick stay return boston islam always quick respond question concern accommodating every point trip truly wonderful place lovely host,"our stay at islam's place was fantastic. we couldn't have asked for a better value on location and amenities. we felt very much at home and comfortable at his place and would be quick to stay with him again if we return to boston!

islam was always quick to respond to any questions or concerns we had and very accommodating at every point in our trip! truly a wonderful place and a lovely host!",114.5005082,1,1
